      Step     Time          Energy          fmax
BFGS:    0 22:06:20      -69.615610   8.46973e-01
BFGS:    1 22:07:44      -69.722322   7.87142e-01
BFGS:    2 22:10:37      -70.249393   2.41668e-01
BFGS:    3 22:12:06      -70.289919   7.87103e-02
BFGS:    4 22:13:12      -70.291941   7.58648e-02
BFGS:    5 22:14:31      -70.292446   6.65290e-02
BFGS:    6 22:16:02      -70.294259   6.66968e-02
BFGS:    7 22:18:02      -70.296239   8.88759e-02
BFGS:    8 22:19:52      -70.298755   1.02059e-01
BFGS:    9 22:21:57      -70.302347   1.57438e-01
BFGS:   10 22:23:54      -70.308326   1.97495e-01
BFGS:   11 22:25:26      -70.317426   1.94707e-01
BFGS:   12 22:27:24      -70.327422   1.43821e-01
BFGS:   13 22:30:03      -70.334407   1.01202e-01
BFGS:   14 22:31:33      -70.337537   1.05527e-01
BFGS:   15 22:33:17      -70.340160   1.08322e-01
BFGS:   16 22:35:05      -70.346767   1.21737e-01
BFGS:   17 22:37:08      -70.358264   1.58085e-01
BFGS:   18 22:39:43      -70.372276   1.68450e-01
BFGS:   19 22:42:19      -70.381804   1.57562e-01
BFGS:   20 22:43:51      -70.386564   1.49597e-01
BFGS:   21 22:45:11      -70.389266   1.08654e-01
BFGS:   22 22:46:34      -70.391848   4.99456e-02
BFGS:   23 22:48:05      -70.393412   2.96581e-02
BFGS:   24 22:49:10      -70.393802   1.97108e-02
BFGS:   25 22:50:36      -70.393872   1.62436e-02
BFGS:   26 22:51:31      -70.393908   1.34927e-02
BFGS:   27 22:52:40      -70.393963   8.02941e-03
BFGS:   28 22:53:46      -70.394010   7.46668e-03
BFGS:   29 22:54:47      -70.394021   4.69955e-03
BFGS:   30 22:55:43      -70.394027   4.53572e-03
BFGS:   31 22:56:35      -70.394034   4.82613e-03
BFGS:   32 22:57:24      -70.394048   4.52638e-03
BFGS:   33 22:58:21      -70.394061   4.72880e-03
BFGS:   34 22:59:03      -70.394068   3.14242e-03
BFGS:   35 22:59:54      -70.394069   1.85665e-03
BFGS:   36 23:00:52      -70.394070   1.66035e-03
BFGS:   37 23:01:44      -70.394071   1.64876e-03
BFGS:   38 23:02:36      -70.394073   1.23230e-03
BFGS:   39 23:03:27      -70.394075   8.63480e-04
